,ticker,current_up_trend,current_trend_length,last_trend_length,second_last_trend_length,current_jump_trender_up,last_jump_trender_up,second_last_jump_trender_up,current_trender_up_price,last_trender_up_price,second_last_trender_up_price
35,CSGP,False,105,47,24,0,33,0,0.0,91.26566967368528,0.0
43,EA,True,73,2,36,48,0,15,203.26058968433213,0.0,167.44368452813072
68,MSTR,False,63,6,5,0,2,0,0.0,319.5730703150223,0.0
72,NFLX,False,55,10,19,0,4,0,0.0,117.75870061128927,0.0
81,PYPL,False,62,5,48,0,3,0,0.0,69.0784075452633,0.0
86,ROP,False,54,11,26,0,1,0,0.0,496.60310632396073,0.0
87,ROST,True,60,3,10,37,0,5,182.68356027770375,0.0,147.8022122845979
92,TMUS,False,95,25,8,0,12,0,0.0,249.17859907366156,0.0
99,WBD,True,56,8,23,32,0,16,27.63438750127212,0.0,17.873625756687648
116,ALGN,True,68,45,6,25,0,4,158.8411249213411,0.0,193.43853620270235
117,ALLE,False,54,2,7,0,0,0,0.0,172.68862893353176,0.0
120,MO,False,59,12,8,0,4,0,0.0,63.385701415712646,0.0
128,AME,True,57,17,39,39,0,18,205.0720009399462,0.0,184.30785611508585
140,T,False,75,33,19,0,11,0,0.0,28.088568627998193,0.0
212,DHR,True,71,27,19,34,0,9,228.2452793330029,0.0,202.5321722814481
226,DOV,True,57,33,7,28,0,4,193.13623905718816,0.0,175.11138828189723
230,DUK,False,51,25,14,0,18,0,0.0,124.95163375310034,0.0
231,DD,True,51,12,6,27,0,2,41.16655840622678,0.0,32.056797427357004
232,ETN,False,55,30,25,0,10,0,0.0,361.61192898748095,0.0
254,EXPE,True,56,18,34,28,0,25,281.51120354031406,0.0,215.5911173713566
262,FDX,True,52,11,34,38,0,14,289.39234262103497,0.0,233.76826923128337
270,FOXA,True,52,12,8,34,0,2,72.11119969306431,0.0,59.961307058199
271,FOX,True,52,13,7,33,0,1,64.78668816100785,0.0,54.19138380199447
290,HAS,True,54,32,18,20,0,10,82.13519106923408,0.0,78.12891082459804
306,HII,True,188,5,22,87,0,15,343.1747318715763,0.0,191.11049140760835
388,NUE,True,52,34,11,26,0,5,160.3417116182368,0.0,141.78022089557055
398,PH,True,54,26,25,28,0,13,876.1872636901442,0.0,744.8612412215396
399,PAYC,False,112,7,29,0,4,0,0.0,227.2828030836523,0.0
451,STLD,True,104,21,29,43,0,18,167.66629510323807,0.0,129.71267100117794
454,SMCI,False,54,31,24,0,17,0,0.0,50.61009488497797,0.0
470,TSCO,False,90,61,10,0,36,0,0.0,60.32106537896058,0.0
476,TYL,False,105,8,15,0,4,0,0.0,565.3071000048424,0.0
484,UPS,True,56,7,5,26,0,3,101.22217197828101,0.0,82.25657995880513
496,VST,False,57,28,13,0,9,0,0.0,195.62271586333713,0.0
